date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - ليوم الخميس 2018/11/29 والمنفذ يوم الأربعاء 2018/11/28  ,"176,956,297","22,360,000
","199,316,297",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/447
تـاريخ البيع - ليوم الأحد 2018/12/2 والمنفذ يوم الخميس 2018/11/29  ,"181,126,612","23,070,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/448
تـاريخ البيع - ليوم الأثنين 2018/12/3 والمنفذ يوم الأحد 2018/12/2  ,"184,300,664","25,950,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/449
تـاريخ البيع - ليوم الثلاثاء 2018/12/4 والمنفذ يوم الأثنين 2018/12/3  ,"186,075,095","22,410,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/450
تـاريخ البيع - ليوم الاربعاء 2018/12/5 والمنفذ يوم الثلاثاء 2018/12/4  ,"156,592,410","26,640,000
","183,232,410",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/451
تـاريخ البيع - ليوم الخميس 2018/12/6 والمنفذ يوم الاربعاء 2018/12/5  ,"158,841,162","18,300,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/452
تـاريخ البيع - ليوم الاحد 2018/12/9 والمنفذ يوم الخميس 2018/12/6  ,"165,095,276","22,170,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/453
تـاريخ البيع - ليوم الاثنين 2018/12/10 والمنفذ يوم الاحد 2018/12/9  ,"173,016,982","25,270,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/454
تـاريخ البيع - ليوم الثلاثاء 2018/12/11 والمنفذ يوم الاحد 2018/12/9  ,"158,821,729","24,290,000
","183,111,729",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/455
تـاريخ البيع - ليوم الأربعاء 2018/12/12 والمنفذ يوم الثلاثاء 2018/12/11  ,"163,204,950","25,240,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/456
