date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - ,"161,795,403","61,380,000","223,175,403",علماً أن :,https://cbi.iq/currency_auction/view/302
تـاريخ البيع - ,"161,681,873","41,530,000","203,211,873",علماً أن :,https://cbi.iq/currency_auction/view/303
تـاريخ البيع - ,"151,591,804","23,740,000","175,331,804",علماً أن :,https://cbi.iq/currency_auction/view/304
تـاريخ البيع - ,"112,796,500","37,690,000","150,486,500",علماً أن :,https://cbi.iq/currency_auction/view/305
تـاريخ البيع - ,"126,191,273","45,540,000","173,231,273",علماً أن :,https://cbi.iq/currency_auction/view/306
تـاريخ البيع - ,"135,171,082","53,250,000","190,721,082",علماً أن :,https://cbi.iq/currency_auction/view/307
تـاريخ البيع - ,"144,476,489","33,610,000","178,086,489",علماً أن :,https://cbi.iq/currency_auction/view/308
تـاريخ البيع - ,"156,073,296","47,310,000","203,383,296",علماً أن :,https://cbi.iq/currency_auction/view/309
تـاريخ البيع - ,"144,562,906","45,960,000","190,522,906",علماً أن :,https://cbi.iq/currency_auction/view/310
تـاريخ البيع - ,"146,509,274","54,400,000","200,909,274
",علماً أن :,https://cbi.iq/currency_auction/view/311
تـاريخ البيع - ,"139,489,470","33,910,000","173,399,470
",علماً أن :,https://cbi.iq/currency_auction/view/312
تـاريخ البيع - ,"134,916,450","31,700,000","166,616,450
",علماً أن :,https://cbi.iq/currency_auction/view/313
تـاريخ البيع - ,"134,144,498","41,680,000","175,824,498
",علماً أن :,https://cbi.iq/currency_auction/view/314
تـاريخ البيع - ,"141,052,231","45,820,000","186,872,231
",علماً أن :,https://cbi.iq/currency_auction/view/315
تـاريخ البيع - ,"128,771,948","47,380,000","176,151,948
",علماً أن :,https://cbi.iq/currency_auction/view/316
تـاريخ البيع - ,"113,601,000","41,710,000","155,311,000
",علماً أن :,https://cbi.iq/currency_auction/view/317
تـاريخ البيع - ليوم الخميس 2018/6/7 والمنفذ يوم الاربعاء 2018/6/6 ,"121,015,226","35,260,000","156,275,226
",علماً أن :,https://cbi.iq/currency_auction/view/318
تـاريخ البيع - ليوم الاحد 2018/6/10 والمنفذ يوم الخميس 2018/6/7,"117,043,050","41,720,000","158,763,050
",علماً أن :,https://cbi.iq/currency_auction/view/319
تـاريخ البيع - ليوم الاثنين 2018/6/11 والمنفذ يوم الاحد 2018/6/10 ,"117,527,000","43,190,000","160,717,000
",علماً أن :,https://cbi.iq/currency_auction/view/320
تـاريخ البيع - ليوم الثلاثاء 2018/6/12 والمنفذ يوم الاثنين 2018/6/11 ,"101,209,300","45,170,000","146,379,300
",علماً أن :,https://cbi.iq/currency_auction/view/321
تـاريخ البيع - ليوم الاربعاء 2018/6/13 والمنفذ يوم الثلاثاء 2018/6/12 ,"81,301,191","43,660,000","124,961,191
",علماً أن :,https://cbi.iq/currency_auction/view/322
تـاريخ البيع - ليوم الخميس 2018/6/14 والمنفذ يوم الاربعاء 2018/6/13 ,"79,968,863","37,770,000","117,738,863
",علماً أن :,https://cbi.iq/currency_auction/view/323
تـاريخ البيع - ليوم الاحد 2018/6/17 والمنفذ يوم الاربعاء 2018/6/13 ,"83,258,000","41,160,000","124,418,000
",علماً أن :,https://cbi.iq/currency_auction/view/324
