date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - ليوم الخميس 2019/3/21  والمنفذ يوم الأربعاء 2019/3/20  ,173410101.0,17760000.0,191170101.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/525
تـاريخ البيع - ليوم الأحد 2019/3/24  والمنفذ يوم الأربعاء 2019/3/20  ,168740600.0,21650000.0,190390600.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/526
تـاريخ البيع - ليوم الأحد 2019/3/24  والمنفذ يوم الأربعاء 2019/3/20  ,168740600.0,21510000.0,190250600.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/527
تـاريخ البيع - ليوم الأثنين 2019/3/25  والمنفذ يوم الأحد 2019/3/24  ,162079733.0,26350000.0,188429733.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/528
تـاريخ البيع - ليوم الثلاثاء 2019/3/26  والمنفذ يوم الأثنين 2019/3/25  ,169335125.0,23300000.0,192635125.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/529
تـاريخ البيع - ليوم الأربعاء 2019/3/27  والمنفذ يوم الثلاثاء 2019/3/26  ,161936405.0,28240000.0,190176405.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/530
تـاريخ البيع - ليوم الخميس 2019/3/28  والمنفذ يوم الأربعاء 2019/3/27  ,135939500.0,16290000.0,152229500.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/531
تـاريخ البيع - ليوم الأحد 2019/3/31  والمنفذ يوم الخميس 2019/3/28  ,183302394.0,20880000.0,204182394.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/532
تـاريخ البيع - ليوم الأثنين 2019/4/1  والمنفذ يوم الأحد 2019/3/31  ,174007080.0,26760000.0,200767080.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/533
تـاريخ البيع - ليوم الثلاثاء 2019/4/2  والمنفذ يوم الأثنين 2019/4/1  ,183623735.0,23710000.0,207333735.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/534
تـاريخ البيع - ليوم الأربعاء 2019/4/3    ,173480917.0,25440000.0,198920917.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/535
تـاريخ البيع - ليوم الخميس 2019/4/4  والمنفذ يوم الأربعاء 2019/4/3  ,159479003.0,20100000.0,179579003.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/536
تـاريخ البيع - ليوم الأحد 2019/4/7  والمنفذ يوم الخميس 2019/4/4  ,154746238.0,19060000.0,173806238.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/537
تـاريخ البيع - ليوم الأثنين 2019/4/8  والمنفذ يوم الأحد 2019/4/7  ,134792300.0,29220000.0,164012300.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/538
تـاريخ البيع - ليوم الثلاثاء 2019/4/9  والمنفذ يوم الأثنين 2019/4/8  ,124793200.0,19490000.0,144283200.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/539
تـاريخ البيع - ليوم الأربعاء 2019/4/10  والمنفذ يوم الثلاثاء 2019/4/9  ,158562800.0,28040000.0,186602800.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/540
تـاريخ البيع - ليوم الخميس 2019/4/11  والمنفذ يوم الأربعاء 2019/4/10  ,143376170.0,21450000.0,164826170.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/541
تـاريخ البيع - ليوم الاحد 2019/4/14  والمنفذ يوم الخميس 2019/4/11  ,161337120.0,20190000.0,181527120.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/542
تـاريخ البيع - ليوم الاثنين 2019/4/15  والمنفذ يوم الأحد 2019/4/14  ,175418451.0,28310000.0,203728451.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/543
تـاريخ البيع - ليوم الثلاثاء 2019/4/16  والمنفذ يوم الاثنين 2019/4/15  ,177521000.0,21610000.0,199131000.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/544
تـاريخ البيع - ليوم الأربعاء 2019/4/17  والمنفذ يوم الثلاثاء 2019/4/16  ,167850480.0,29370000.0,197220480.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/545
تـاريخ البيع - ليوم الخميس 2019/4/18  والمنفذ يوم الأربعاء 2019/4/17  ,179895960.0,18420000.0,198315960.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/546
تـاريخ البيع - ليوم الأحد 2019/4/21  والمنفذ يوم الخميس 2019/4/18  ,201702565.0,20320000.0,222022565.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/547
تـاريخ البيع - ليوم الأثنين 2019/4/22  والمنفذ يوم الأحد 2019/4/21  ,174676078.0,28600000.0,203276078.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/548
تـاريخ البيع - ليوم الثلاثاء 2019/4/23  والمنفذ يوم الأثنين 2019/4/22  ,181758101.0,20960000.0,202718101.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/549
تـاريخ البيع - ليوم الأربعاء 2019/4/24  والمنفذ يوم الثلاثاء 2019/4/23  ,165130400.0,28820000.0,193950400.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/550
تـاريخ البيع - ليوم الخميس 2019/4/25  والمنفذ يوم الأربعاء 2019/4/24  ,171098694.0,18680000.0,189778694.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/551
تـاريخ البيع - ليوم الأحد 2019/4/28  والمنفذ يوم الخميس 2019/4/25  ,178691875.0,18570000.0,197261875.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/552
تـاريخ البيع - ليوم الأثنين 2019/4/29  والمنفذ يوم الأحد 2019/4/28  ,187936263.0,30190000.0,218126263.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/553
تـاريخ البيع - ليوم الثلاثاء 2019/4/30  والمنفذ يوم الأثنين 2019/4/29  ,195303156.0,21960000.0,217263156.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/554
تـاريخ البيع - ليوم الأربعاء 2019/5/1  والمنفذ يوم الثلاثاء 2019/4/30  ,193946398.0,27260000.0,221206398.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/555
تـاريخ البيع - ليوم الخميس 2019/5/2  والمنفذ يوم الثلاثاء 2019/4/30  ,188159926.0,17990000.0,206149926.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/556
تـاريخ البيع - ليوم الأحد 2019/5/5  والمنفذ يوم الخميس 2019/5/2  ,218870660.0,19060000.0,237930660.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/557
تـاريخ البيع - ليوم الأثنين 2019/5/6  والمنفذ يوم الأحد 2019/5/5  ,208805597.0,28930000.0,237735597.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/558
تـاريخ البيع - ليوم الثلاثاء 2019/5/7  والمنفذ يوم الأثنين 2019/5/6  ,194029080.0,24760000.0,218789080.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/559
تـاريخ البيع - ليوم الأربعاء 2019/5/8  والمنفذ يوم الثلاثاء 2019/5/7  ,136686000.0,19830000.0,156516000.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/560
تـاريخ البيع - ليوم الخميس 2019/5/9  والمنفذ يوم الأربعاء 2019/5/8  ,221136436.0,21010000.0,242146436.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/561
تـاريخ البيع - ليوم الأحد 2019/5/12  والمنفذ يوم الخميس 2019/5/9  ,197637220.0,19830000.0,217467220.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/562
تـاريخ البيع - ليوم الأثنين 2019/5/13  والمنفذ يوم الأحد 2019/5/12  ,187276800.0,25290000.0,212566800.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/563
تـاريخ البيع - ليوم الثلاثاء 2019/5/14  والمنفذ يوم الأثنين 2019/5/13  ,175175236.0,24770000.0,199945236.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/564
تـاريخ البيع - ليوم الأربعاء 2019/5/15  والمنفذ يوم الثلاثاء 2019/5/14  ,184383694.0,27890000.0,212273694.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/565
تـاريخ البيع - ليوم الخميس 2019/5/16  والمنفذ يوم الأربعاء 2019/5/15  ,178158030.0,19110000.0,197268030.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/566
تـاريخ البيع - ليوم الأحد 2019/5/19  والمنفذ يوم الخميس 2019/5/16  ,187001792.0,18090000.0,205091792.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/567
تـاريخ البيع - ليوم الأثنين 2019/5/20  والمنفذ يوم الأحد 2019/5/19  ,188519094.0,29220000.0,217739094.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/568
تـاريخ البيع - ليوم الثلاثاء 2019/5/21 والمنفذ يوم الأثنين 2019/5/20  ,186989000.0,22170000.0,209159000.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/569
تـاريخ البيع - ليوم الأربعاء 2019/5/22 والمنفذ يوم الثلاثاء 2019/5/21  ,181092000.0,28870000.0,209962000.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/570
تـاريخ البيع - ليوم الخميس 2019/5/23 والمنفذ يوم الأربعاء 2019/5/22  ,175713380.0,17980000.0,193693380.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/571
تـاريخ البيع - ليوم الأحد 2019/5/26 والمنفذ يوم الخميس 2019/5/23  ,195745265.0,19550000.0,215295265.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/572
تـاريخ البيع - ليوم الأثنين 2019/5/27 والمنفذ يوم الأحد 2019/5/26  ,189628170.0,28390000.0,218018170.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/573
تـاريخ البيع - ليوم الثلاثاء 2019/5/28 والمنفذ يوم الأثنين 2019/5/27  ,176215500.0,21890000.0,198105500.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/574
تـاريخ البيع - ليوم الأربعاء 2019/5/29 والمنفذ يوم الثلاثاء 2019/5/28  ,143769145.0,26140000.0,169909145.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/575
تـاريخ البيع - ليوم الخميس 2019/5/30 والمنفذ يوم الأربعاء 2019/5/29  ,144158763.0,20640000.0,164798763.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/576
تـاريخ البيع - ليوم الأحد 2019/6/2 والمنفذ يوم الخميس 2019/5/30  ,151971700.0,23440000.0,175411700.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/577
تـاريخ البيع - ليوم الأثنين 2019/6/3 والمنفذ يوم الأحد 2019/6/2  ,123095450.0,35390000.0,158485450.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/578
تـاريخ البيع - ليوم الأحد 2019/6/9 والمنفذ يوم الأثنين 2019/6/3  ,132940981.0,26890000.0,159830981.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/579
تـاريخ البيع - ليوم الأثنين 2019/6/10 والمنفذ يوم الأحد  2019/6/9  ,125717810.0,31700000.0,157417810.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/580
تـاريخ البيع - ليوم الثلاثاء 2019/6/11 والمنفذ يوم الأثنين  2019/6/10  ,132687000.0,17840000.0,150527000.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/581
